AVE_iter:0	EPISODE_REWARD:14.394857505320312	FINISHED_NUM:158.53125	TIME_MEAN:0.02031132967436138	TIME_STD:0.012433262376097267	FARE_MEAN:0.2386605257968477	FARE_STD:0.12267391218066538
AVE_iter:1	EPISODE_REWARD:15.212009113321875	FINISHED_NUM:164.78125	TIME_MEAN:0.02042979409442383	TIME_STD:0.011720982227699227	FARE_MEAN:0.25117196065648667	FARE_STD:0.13093624642897772
AVE_iter:2	EPISODE_REWARD:14.807837838119449	FINISHED_NUM:160.125	TIME_MEAN:0.02086825884942291	TIME_STD:0.012833397407447905	FARE_MEAN:0.2399069417428805	FARE_STD:0.1311597517759791
AVE_iter:3	EPISODE_REWARD:14.90225122855	FINISHED_NUM:158.90625	TIME_MEAN:0.020757161976482613	TIME_STD:0.012088778002088536	FARE_MEAN:0.24245445657940123	FARE_STD:0.13152209706509374
AVE_iter:4	EPISODE_REWARD:14.236332673606249	FINISHED_NUM:162.46875	TIME_MEAN:0.021779927028518258	TIME_STD:0.013828085803507155	FARE_MEAN:0.23808721844401073	FARE_STD:0.12980553791471205
AVE_iter:5	EPISODE_REWARD:14.572503748731874	FINISHED_NUM:158.125	TIME_MEAN:0.021376992986462368	TIME_STD:0.012637443783403939	FARE_MEAN:0.2399109496102948	FARE_STD:0.12490524840208984
AVE_iter:6	EPISODE_REWARD:14.47351098812156	FINISHED_NUM:161.21875	TIME_MEAN:0.020156247030896662	TIME_STD:0.011964757590900968	FARE_MEAN:0.2392960647199944	FARE_STD:0.12575533344081669
AVE_iter:7	EPISODE_REWARD:14.61153718770625	FINISHED_NUM:159.5625	TIME_MEAN:0.020494567207104512	TIME_STD:0.012266878325099182	FARE_MEAN:0.24173441356599595	FARE_STD:0.12691218628543727
AVE_iter:8	EPISODE_REWARD:14.704323805089375	FINISHED_NUM:157.75	TIME_MEAN:0.019819486947150928	TIME_STD:0.011141584895934118	FARE_MEAN:0.2381808586911916	FARE_STD:0.12657420869981278
AVE_iter:9	EPISODE_REWARD:14.28109207043125	FINISHED_NUM:159.90625	TIME_MEAN:0.019997393163247584	TIME_STD:0.011285708388652005	FARE_MEAN:0.23638240212776512	FARE_STD:0.1286132630945017
AVE_iter:10	EPISODE_REWARD:15.53845916623125	FINISHED_NUM:163.34375	TIME_MEAN:0.02108374587063194	TIME_STD:0.012460152930699055	FARE_MEAN:0.253327779137272	FARE_STD:0.13720884425813945
AVE_iter:11	EPISODE_REWARD:14.211912981945625	FINISHED_NUM:160.90625	TIME_MEAN:0.021957799990918354	TIME_STD:0.013057039326416258	FARE_MEAN:0.23927412289174696	FARE_STD:0.1314580530075654
AVE_iter:12	EPISODE_REWARD:14.486799218853125	FINISHED_NUM:159.875	TIME_MEAN:0.02087891510639419	TIME_STD:0.012175139620621112	FARE_MEAN:0.23914138670711121	FARE_STD:0.12964379501858883
AVE_iter:13	EPISODE_REWARD:15.011475620021876	FINISHED_NUM:163.4375	TIME_MEAN:0.02154705267018218	TIME_STD:0.012967128854400014	FARE_MEAN:0.2471272357440869	FARE_STD:0.11967004602027977
AVE_iter:14	EPISODE_REWARD:14.706485469536561	FINISHED_NUM:161.09375	TIME_MEAN:0.02055231082587599	TIME_STD:0.011849776841263215	FARE_MEAN:0.24307182284033635	FARE_STD:0.12738856522287478
AVE_iter:15	EPISODE_REWARD:14.4847122864	FINISHED_NUM:157.84375	TIME_MEAN:0.021267619823571286	TIME_STD:0.012822527738300248	FARE_MEAN:0.24077316888983102	FARE_STD:0.1302896895886255
AVE_iter:16	EPISODE_REWARD:14.618576737975001	FINISHED_NUM:160.4375	TIME_MEAN:0.021887384148386833	TIME_STD:0.013798142189801146	FARE_MEAN:0.24301283201123097	FARE_STD:0.1388619772168065
AVE_iter:17	EPISODE_REWARD:14.6396397753425	FINISHED_NUM:164.6875	TIME_MEAN:0.021058209581101793	TIME_STD:0.012885773107910269	FARE_MEAN:0.2437990275446427	FARE_STD:0.12648062422636075
AVE_iter:18	EPISODE_REWARD:14.026472583793751	FINISHED_NUM:158.875	TIME_MEAN:0.021192273082148085	TIME_STD:0.012575768792053233	FARE_MEAN:0.23529764277819923	FARE_STD:0.1285163341116154
AVE_iter:19	EPISODE_REWARD:14.688746412213437	FINISHED_NUM:161.84375	TIME_MEAN:0.020200062107654265	TIME_STD:0.011552407491643176	FARE_MEAN:0.24505893031080206	FARE_STD:0.12810052632461844
AVE_iter:20	EPISODE_REWARD:14.400075189846252	FINISHED_NUM:159.15625	TIME_MEAN:0.020854318613620464	TIME_STD:0.012238883655623572	FARE_MEAN:0.23567412415327932	FARE_STD:0.13179629740660817
AVE_iter:21	EPISODE_REWARD:15.449177343609374	FINISHED_NUM:163.0	TIME_MEAN:0.02183434555101805	TIME_STD:0.01411598994018494	FARE_MEAN:0.2520861597041024	FARE_STD:0.1343924678304078
AVE_iter:22	EPISODE_REWARD:14.911973185763125	FINISHED_NUM:163.71875	TIME_MEAN:0.021722253219517297	TIME_STD:0.013277668802849078	FARE_MEAN:0.24563312372514176	FARE_STD:0.12176853227585839
AVE_iter:23	EPISODE_REWARD:14.218926231330313	FINISHED_NUM:159.28125	TIME_MEAN:0.021879234839470973	TIME_STD:0.012946331890098275	FARE_MEAN:0.2355150728279293	FARE_STD:0.12714272111967018
AVE_iter:24	EPISODE_REWARD:14.63601301708125	FINISHED_NUM:164.4375	TIME_MEAN:0.021032586322519635	TIME_STD:0.01212969987484152	FARE_MEAN:0.24305916341048334	FARE_STD:0.1250664743346923
AVE_iter:25	EPISODE_REWARD:14.479570696195312	FINISHED_NUM:163.96875	TIME_MEAN:0.020347064031656786	TIME_STD:0.011650233579155138	FARE_MEAN:0.24144458114219838	FARE_STD:0.12593664241050398
AVE_iter:26	EPISODE_REWARD:14.496929836930937	FINISHED_NUM:158.96875	TIME_MEAN:0.020834155923882096	TIME_STD:0.01275154279149619	FARE_MEAN:0.23904401182498938	FARE_STD:0.12173378053495275
AVE_iter:27	EPISODE_REWARD:15.020650028368749	FINISHED_NUM:159.34375	TIME_MEAN:0.020812010802914588	TIME_STD:0.012113323576743197	FARE_MEAN:0.24510282395032093	FARE_STD:0.1358530437662246
AVE_iter:28	EPISODE_REWARD:14.469418643850315	FINISHED_NUM:154.6875	TIME_MEAN:0.02145137693131787	TIME_STD:0.012966092158281681	FARE_MEAN:0.23609631370904338	FARE_STD:0.12485955748743362
AVE_iter:29	EPISODE_REWARD:14.268810612959374	FINISHED_NUM:157.6875	TIME_MEAN:0.021601764053198347	TIME_STD:0.01298235180018424	FARE_MEAN:0.23534325350802407	FARE_STD:0.12700866848515485
AVE_iter:30	EPISODE_REWARD:15.39817190073125	FINISHED_NUM:162.125	TIME_MEAN:0.020402717999551533	TIME_STD:0.01204994936270142	FARE_MEAN:0.2521793727419756	FARE_STD:0.14016227282291643
AVE_iter:31	EPISODE_REWARD:14.757745951465626	FINISHED_NUM:160.84375	TIME_MEAN:0.02011830477496806	TIME_STD:0.011552217354770855	FARE_MEAN:0.24173144927717005	FARE_STD:0.1327937152061175
AVE_iter:32	EPISODE_REWARD:14.726273140293438	FINISHED_NUM:158.75	TIME_MEAN:0.021091056027752568	TIME_STD:0.012316327448983675	FARE_MEAN:0.2404674299677116	FARE_STD:0.12095044499511935
AVE_iter:33	EPISODE_REWARD:14.340572542807188	FINISHED_NUM:159.75	TIME_MEAN:0.02187568616101494	TIME_STD:0.01378907669980965	FARE_MEAN:0.23850532271268632	FARE_STD:0.12453198872357893
AVE_iter:34	EPISODE_REWARD:14.541697123659375	FINISHED_NUM:165.09375	TIME_MEAN:0.02227122610609129	TIME_STD:0.013869111500788681	FARE_MEAN:0.2468787750360973	FARE_STD:0.13416234234032903
AVE_iter:35	EPISODE_REWARD:15.55920453009375	FINISHED_NUM:163.96875	TIME_MEAN:0.021262350097446293	TIME_STD:0.013311398289409623	FARE_MEAN:0.2541722125528415	FARE_STD:0.13028240134213398
AVE_iter:36	EPISODE_REWARD:14.638763952672813	FINISHED_NUM:162.6875	TIME_MEAN:0.0209991146074891	TIME_STD:0.012121343182118237	FARE_MEAN:0.24124719376438336	FARE_STD:0.12547294449294516
AVE_iter:37	EPISODE_REWARD:13.960867964472499	FINISHED_NUM:157.21875	TIME_MEAN:0.02092250126769071	TIME_STD:0.012322859488422887	FARE_MEAN:0.2345861311115452	FARE_STD:0.12418655564964695
AVE_iter:38	EPISODE_REWARD:14.206031885675001	FINISHED_NUM:158.78125	TIME_MEAN:0.021122270400874214	TIME_STD:0.011868172004218976	FARE_MEAN:0.23878267485339366	FARE_STD:0.12817166262422827
AVE_iter:39	EPISODE_REWARD:13.824476531471875	FINISHED_NUM:161.34375	TIME_MEAN:0.02180703422797528	TIME_STD:0.013149659427861468	FARE_MEAN:0.23388414216415235	FARE_STD:0.12553987417603343
AVE_iter:40	EPISODE_REWARD:14.367531407895314	FINISHED_NUM:161.46875	TIME_MEAN:0.02206163287876905	TIME_STD:0.013431955783444072	FARE_MEAN:0.23975616444054804	FARE_STD:0.12280898682928806
AVE_iter:41	EPISODE_REWARD:14.784927386234376	FINISHED_NUM:162.9375	TIME_MEAN:0.02279135779079655	TIME_STD:0.014379680755177631	FARE_MEAN:0.24612149006518536	FARE_STD:0.13645372411561274
AVE_iter:42	EPISODE_REWARD:14.05333899870625	FINISHED_NUM:158.78125	TIME_MEAN:0.020307638762361226	TIME_STD:0.011955363757413528	FARE_MEAN:0.23516513871100686	FARE_STD:0.12432574977885864
AVE_iter:43	EPISODE_REWARD:14.104881188418124	FINISHED_NUM:160.4375	TIME_MEAN:0.021150132167893007	TIME_STD:0.01265859843948291	FARE_MEAN:0.2353020827248768	FARE_STD:0.1258574950284245
AVE_iter:44	EPISODE_REWARD:14.460097690413125	FINISHED_NUM:156.125	TIME_MEAN:0.020249376892027562	TIME_STD:0.011709697078644346	FARE_MEAN:0.23650463166270275	FARE_STD:0.12183623036812008
AVE_iter:45	EPISODE_REWARD:14.20628001028125	FINISHED_NUM:160.15625	TIME_MEAN:0.021392774673154764	TIME_STD:0.01271907035191875	FARE_MEAN:0.2364227953920116	FARE_STD:0.12578687148868156
AVE_iter:46	EPISODE_REWARD:13.63579865915875	FINISHED_NUM:157.90625	TIME_MEAN:0.02106346044096572	TIME_STD:0.012652749937958317	FARE_MEAN:0.2301438755089462	FARE_STD:0.1251876767222001
AVE_iter:47	EPISODE_REWARD:15.604328400046874	FINISHED_NUM:157.78125	TIME_MEAN:0.02034794567777288	TIME_STD:0.011699941630123962	FARE_MEAN:0.2500286704606078	FARE_STD:0.13963613936245586
AVE_iter:48	EPISODE_REWARD:13.745590106309375	FINISHED_NUM:160.71875	TIME_MEAN:0.02100022982243583	TIME_STD:0.01255577415930309	FARE_MEAN:0.23235603142844746	FARE_STD:0.11626214815704333
AVE_iter:49	EPISODE_REWARD:14.099279462667187	FINISHED_NUM:158.5	TIME_MEAN:0.021899270225977888	TIME_STD:0.013805835549769632	FARE_MEAN:0.23556318414015898	FARE_STD:0.12306810627381456
AVE_iter:50	EPISODE_REWARD:15.181836778115624	FINISHED_NUM:158.21875	TIME_MEAN:0.021551328370655633	TIME_STD:0.013129009028503724	FARE_MEAN:0.24541414468949382	FARE_STD:0.1405630128506492
AVE_iter:51	EPISODE_REWARD:15.07665664059375	FINISHED_NUM:161.5	TIME_MEAN:0.021157237006260633	TIME_STD:0.012621894802762268	FARE_MEAN:0.24683336625809052	FARE_STD:0.14097092352570673
