AVE_iter:28	EPISODE_REWARD:29.694841778440626	FINISHED_NUM:317.25	TIME_MEAN:0.020621074460061062	TIME_STD:0.012142844919276478	FARE_MEAN:0.48372874107918995	FARE_STD:0.18002304550343926
AVE_iter:29	EPISODE_REWARD:29.531029604018748	FINISHED_NUM:322.09375	TIME_MEAN:0.021212558703071774	TIME_STD:0.013661023192623687	FARE_MEAN:0.4866735383768988	FARE_STD:0.1768505443217815
AVE_iter:30	EPISODE_REWARD:29.558650193615627	FINISHED_NUM:323.40625	TIME_MEAN:0.0209058493652934	TIME_STD:0.013273001885396455	FARE_MEAN:0.4886697941709089	FARE_STD:0.19075118134613073
AVE_iter:31	EPISODE_REWARD:29.176900908140624	FINISHED_NUM:322.46875	TIME_MEAN:0.020648601866467074	TIME_STD:0.012770675879234257	FARE_MEAN:0.4798964724389505	FARE_STD:0.17312110396565444
AVE_iter:32	EPISODE_REWARD:29.345759954103123	FINISHED_NUM:318.875	TIME_MEAN:0.021327857433140165	TIME_STD:0.013790059363548896	FARE_MEAN:0.4846392994269675	FARE_STD:0.17882489432205634
AVE_iter:33	EPISODE_REWARD:29.45634165668125	FINISHED_NUM:320.34375	TIME_MEAN:0.020773122260683508	TIME_STD:0.012637781630628793	FARE_MEAN:0.48549901316503413	FARE_STD:0.19382462170728842
AVE_iter:34	EPISODE_REWARD:30.302010411609377	FINISHED_NUM:321.75	TIME_MEAN:0.020241393056292075	TIME_STD:0.012322175607724589	FARE_MEAN:0.4904530041490496	FARE_STD:0.18079226637268275
AVE_iter:35	EPISODE_REWARD:28.684858132590627	FINISHED_NUM:320.4375	TIME_MEAN:0.021065912482718725	TIME_STD:0.012957849974772867	FARE_MEAN:0.4781165279040375	FARE_STD:0.17907062116493472
AVE_iter:36	EPISODE_REWARD:28.589939614921875	FINISHED_NUM:316.5	TIME_MEAN:0.020695185242983728	TIME_STD:0.012714142067650445	FARE_MEAN:0.47386604416029643	FARE_STD:0.17368369536523534
AVE_iter:37	EPISODE_REWARD:29.57157176313125	FINISHED_NUM:319.6875	TIME_MEAN:0.01985133300926493	TIME_STD:0.011749049395826851	FARE_MEAN:0.48602618060685315	FARE_STD:0.17500248644727726
AVE_iter:38	EPISODE_REWARD:28.44217628760625	FINISHED_NUM:316.8125	TIME_MEAN:0.02007620744162914	TIME_STD:0.012173043850089901	FARE_MEAN:0.4746477862160429	FARE_STD:0.1920701361036635
AVE_iter:39	EPISODE_REWARD:28.975331738846876	FINISHED_NUM:322.625	TIME_MEAN:0.021249249685101102	TIME_STD:0.013185947923840896	FARE_MEAN:0.4831878996755528	FARE_STD:0.1831338511034878
AVE_iter:40	EPISODE_REWARD:29.950804136446873	FINISHED_NUM:322.8125	TIME_MEAN:0.020941530538146874	TIME_STD:0.012981937107016693	FARE_MEAN:0.4919514692727829	FARE_STD:0.18724895419159227
AVE_iter:41	EPISODE_REWARD:30.36977379001562	FINISHED_NUM:326.375	TIME_MEAN:0.020519419731003956	TIME_STD:0.01260689705349581	FARE_MEAN:0.4965187114103247	FARE_STD:0.182763439157898
AVE_iter:42	EPISODE_REWARD:29.023175438090625	FINISHED_NUM:317.75	TIME_MEAN:0.020384842973944862	TIME_STD:0.012465424447323008	FARE_MEAN:0.4793000144428092	FARE_STD:0.17610829300179587
AVE_iter:43	EPISODE_REWARD:29.5394322836875	FINISHED_NUM:320.625	TIME_MEAN:0.020340650629555847	TIME_STD:0.012092207067018452	FARE_MEAN:0.48602828040057555	FARE_STD:0.18823115425032444
AVE_iter:44	EPISODE_REWARD:28.575080562543747	FINISHED_NUM:321.53125	TIME_MEAN:0.019858872806392768	TIME_STD:0.011734618571987411	FARE_MEAN:0.4762569575021699	FARE_STD:0.17580627922845551
AVE_iter:45	EPISODE_REWARD:29.530433424481252	FINISHED_NUM:319.46875	TIME_MEAN:0.020307949745207964	TIME_STD:0.012263930424934184	FARE_MEAN:0.4836637934386323	FARE_STD:0.17745762798484466
AVE_iter:46	EPISODE_REWARD:28.8762735332375	FINISHED_NUM:322.5	TIME_MEAN:0.02086020248024581	TIME_STD:0.013089253523440788	FARE_MEAN:0.4784916497455307	FARE_STD:0.1797408106823776
AVE_iter:47	EPISODE_REWARD:29.603677140221876	FINISHED_NUM:316.78125	TIME_MEAN:0.019713203128451914	TIME_STD:0.011717807856096938	FARE_MEAN:0.4817783634972086	FARE_STD:0.1768804295470846
AVE_iter:48	EPISODE_REWARD:28.915602122978125	FINISHED_NUM:321.96875	TIME_MEAN:0.02041153633999968	TIME_STD:0.012306204929702538	FARE_MEAN:0.48059345153092115	FARE_STD:0.17647965825410267
AVE_iter:49	EPISODE_REWARD:28.627299013524997	FINISHED_NUM:316.21875	TIME_MEAN:0.020170088226203607	TIME_STD:0.0123996628815189	FARE_MEAN:0.4742910382955645	FARE_STD:0.17617109464310238
AVE_iter:50	EPISODE_REWARD:29.32990866556875	FINISHED_NUM:324.4375	TIME_MEAN:0.02056893814959432	TIME_STD:0.012726318700113703	FARE_MEAN:0.4838289986359289	FARE_STD:0.1878285880891803
AVE_iter:51	EPISODE_REWARD:30.34650955743125	FINISHED_NUM:318.125	TIME_MEAN:0.020380303318808638	TIME_STD:0.0123311111748571	FARE_MEAN:0.4904271038704847	FARE_STD:0.1798558605021142
AVE_iter:52	EPISODE_REWARD:29.731266681803127	FINISHED_NUM:315.0	TIME_MEAN:0.020863236508131204	TIME_STD:0.012547723146402966	FARE_MEAN:0.48488274504487483	FARE_STD:0.19514119911747904
AVE_iter:53	EPISODE_REWARD:28.555189422650002	FINISHED_NUM:320.40625	TIME_MEAN:0.0205522230181657	TIME_STD:0.012250408664859758	FARE_MEAN:0.47570630871887337	FARE_STD:0.18083760339707994
AVE_iter:54	EPISODE_REWARD:29.287360396446875	FINISHED_NUM:317.65625	TIME_MEAN:0.020483257411231963	TIME_STD:0.01229455498386072	FARE_MEAN:0.48024819891589976	FARE_STD:0.17966581010417332
AVE_iter:55	EPISODE_REWARD:29.14647406493125	FINISHED_NUM:321.875	TIME_MEAN:0.02053108398893065	TIME_STD:0.01277805738341532	FARE_MEAN:0.4849033066967787	FARE_STD:0.183606252214704
AVE_iter:56	EPISODE_REWARD:29.275112467303124	FINISHED_NUM:324.25	TIME_MEAN:0.020357558694469965	TIME_STD:0.012300151016258065	FARE_MEAN:0.48102551518596304	FARE_STD:0.18455024481313162
AVE_iter:57	EPISODE_REWARD:28.063282736965625	FINISHED_NUM:316.9375	TIME_MEAN:0.020435041368898337	TIME_STD:0.012295066661893252	FARE_MEAN:0.4678237932930256	FARE_STD:0.1780122430751077
AVE_iter:58	EPISODE_REWARD:28.757228298215626	FINISHED_NUM:318.21875	TIME_MEAN:0.02001616635771005	TIME_STD:0.012268710419693088	FARE_MEAN:0.47666835641964944	FARE_STD:0.18432599235081282
AVE_iter:59	EPISODE_REWARD:28.4027927379125	FINISHED_NUM:317.96875	TIME_MEAN:0.02000027437751422	TIME_STD:0.011772840307740309	FARE_MEAN:0.46902902298461985	FARE_STD:0.17259579181020257
AVE_iter:60	EPISODE_REWARD:29.80160815055625	FINISHED_NUM:319.46875	TIME_MEAN:0.020573789953497096	TIME_STD:0.012932644335604763	FARE_MEAN:0.4879312404581061	FARE_STD:0.1818210666954791
AVE_iter:61	EPISODE_REWARD:29.549356592396876	FINISHED_NUM:322.59375	TIME_MEAN:0.02061597771744821	TIME_STD:0.012957694375868394	FARE_MEAN:0.4837058545130733	FARE_STD:0.18033675137802235
AVE_iter:62	EPISODE_REWARD:30.06195895133125	FINISHED_NUM:324.0	TIME_MEAN:0.02083996512137694	TIME_STD:0.012945125813378347	FARE_MEAN:0.49510249918355215	FARE_STD:0.1939048727592087
AVE_iter:63	EPISODE_REWARD:29.084749648909373	FINISHED_NUM:320.25	TIME_MEAN:0.020428779253177536	TIME_STD:0.012523782204171762	FARE_MEAN:0.4812377875393058	FARE_STD:0.17749130178642858
AVE_iter:64	EPISODE_REWARD:28.92770983760625	FINISHED_NUM:324.0625	TIME_MEAN:0.02129676380436447	TIME_STD:0.013788865979861844	FARE_MEAN:0.4844902993192013	FARE_STD:0.18405820293197755
AVE_iter:65	EPISODE_REWARD:28.885736194318753	FINISHED_NUM:319.0625	TIME_MEAN:0.02018094843355464	TIME_STD:0.012200935774395082	FARE_MEAN:0.4751274575026768	FARE_STD:0.18036955477833222
AVE_iter:66	EPISODE_REWARD:29.325455424656248	FINISHED_NUM:317.0625	TIME_MEAN:0.020516012972335348	TIME_STD:0.012889972122635752	FARE_MEAN:0.47875474321334466	FARE_STD:0.18356581883124642
AVE_iter:67	EPISODE_REWARD:28.87964562573125	FINISHED_NUM:322.625	TIME_MEAN:0.02004805378267426	TIME_STD:0.011728099624749327	FARE_MEAN:0.47983481414222706	FARE_STD:0.17999842551083284
AVE_iter:68	EPISODE_REWARD:29.495811499934376	FINISHED_NUM:317.125	TIME_MEAN:0.020102622770798072	TIME_STD:0.011890166086875927	FARE_MEAN:0.47948286995626344	FARE_STD:0.1752252104831415
AVE_iter:69	EPISODE_REWARD:29.0652372782625	FINISHED_NUM:324.75	TIME_MEAN:0.020567311429521836	TIME_STD:0.012476852254906783	FARE_MEAN:0.4850602704703833	FARE_STD:0.18244948994745022
AVE_iter:70	EPISODE_REWARD:29.1153496633625	FINISHED_NUM:321.53125	TIME_MEAN:0.020721708228608728	TIME_STD:0.013159730036361741	FARE_MEAN:0.48133837884304453	FARE_STD:0.1765683654973435
AVE_iter:71	EPISODE_REWARD:28.7047597369875	FINISHED_NUM:319.125	TIME_MEAN:0.020580450811797914	TIME_STD:0.012895136782070403	FARE_MEAN:0.47142149601891303	FARE_STD:0.17977097566039357
AVE_iter:72	EPISODE_REWARD:29.126018570940623	FINISHED_NUM:322.40625	TIME_MEAN:0.02051250375794545	TIME_STD:0.012608000475473601	FARE_MEAN:0.4797273106984089	FARE_STD:0.18382407711013585
AVE_iter:73	EPISODE_REWARD:29.33182435162812	FINISHED_NUM:325.1875	TIME_MEAN:0.02085092727933135	TIME_STD:0.012888188875974465	FARE_MEAN:0.48506933520978457	FARE_STD:0.18160348839077883
AVE_iter:74	EPISODE_REWARD:29.405024845918753	FINISHED_NUM:321.71875	TIME_MEAN:0.020310903783531092	TIME_STD:0.011973869973106671	FARE_MEAN:0.4844121292562181	FARE_STD:0.18498715328070547
AVE_iter:75	EPISODE_REWARD:29.126326954959374	FINISHED_NUM:316.46875	TIME_MEAN:0.02051887544918569	TIME_STD:0.012457380494531902	FARE_MEAN:0.4771245732634123	FARE_STD:0.17863936444457257
AVE_iter:76	EPISODE_REWARD:30.1266018722625	FINISHED_NUM:321.09375	TIME_MEAN:0.020587725120949977	TIME_STD:0.012223985669293416	FARE_MEAN:0.4941703170476355	FARE_STD:0.18894063832972818
AVE_iter:77	EPISODE_REWARD:29.13607185728125	FINISHED_NUM:321.6875	TIME_MEAN:0.020940913167208627	TIME_STD:0.012784151156865235	FARE_MEAN:0.48045742806896086	FARE_STD:0.17127973052728984
AVE_iter:78	EPISODE_REWARD:28.45048137340312	FINISHED_NUM:317.84375	TIME_MEAN:0.020828545609911826	TIME_STD:0.01316166355802228	FARE_MEAN:0.4713503077184511	FARE_STD:0.1782696424154383
AVE_iter:79	EPISODE_REWARD:29.741579597421875	FINISHED_NUM:315.71875	TIME_MEAN:0.02002838925708202	TIME_STD:0.011500060939711761	FARE_MEAN:0.4833116300150513	FARE_STD:0.18569562892675812
AVE_iter:80	EPISODE_REWARD:29.155190250978126	FINISHED_NUM:321.65625	TIME_MEAN:0.020767635047442813	TIME_STD:0.012536988346128458	FARE_MEAN:0.48361537984580205	FARE_STD:0.16505026284165833
AVE_iter:81	EPISODE_REWARD:29.70542557249375	FINISHED_NUM:322.03125	TIME_MEAN:0.020272291467803728	TIME_STD:0.01246053721804364	FARE_MEAN:0.485631558100033	FARE_STD:0.18630514778490626
