AVE_iter:28	EPISODE_REWARD:77.0929561271	FINISHED_NUM:643.90625	TIME_MEAN:0.02543115954244524	TIME_STD:0.0117577905990954	FARE_MEAN:0.9869797809194425	FARE_STD:0.39015056491756794
AVE_iter:29	EPISODE_REWARD:75.7486517965	FINISHED_NUM:631.84375	TIME_MEAN:0.023158514610896498	TIME_STD:0.009050594007047427	FARE_MEAN:0.954962106911329	FARE_STD:0.3832698363787036
AVE_iter:30	EPISODE_REWARD:76.23159276990313	FINISHED_NUM:640.4375	TIME_MEAN:0.02365004413404754	TIME_STD:0.01028099427845588	FARE_MEAN:0.9643936168351667	FARE_STD:0.38899607487956217
AVE_iter:31	EPISODE_REWARD:76.88690754703126	FINISHED_NUM:652.1875	TIME_MEAN:0.0260186205571272	TIME_STD:0.013196020888979795	FARE_MEAN:0.9883236647906075	FARE_STD:0.3850051967219258
AVE_iter:32	EPISODE_REWARD:76.35286476609376	FINISHED_NUM:634.9375	TIME_MEAN:0.02408354360140432	TIME_STD:0.010477734352298651	FARE_MEAN:0.9613434010438953	FARE_STD:0.38828365191781405
AVE_iter:33	EPISODE_REWARD:77.08328410388125	FINISHED_NUM:637.4375	TIME_MEAN:0.024018379419825694	TIME_STD:0.009851496050462675	FARE_MEAN:0.9691639799164664	FARE_STD:0.3889469840640608
AVE_iter:34	EPISODE_REWARD:76.06427911968439	FINISHED_NUM:634.90625	TIME_MEAN:0.02429795208236795	TIME_STD:0.010291125486749108	FARE_MEAN:0.9589482131620561	FARE_STD:0.382966485246426
AVE_iter:35	EPISODE_REWARD:77.05554990726876	FINISHED_NUM:636.25	TIME_MEAN:0.023495798132195267	TIME_STD:0.009931245929096753	FARE_MEAN:0.9705694438015393	FARE_STD:0.4042529320774845
AVE_iter:36	EPISODE_REWARD:76.11908009607812	FINISHED_NUM:640.71875	TIME_MEAN:0.02563876941092462	TIME_STD:0.01219270721013781	FARE_MEAN:0.9670156902654456	FARE_STD:0.39747287850996926
AVE_iter:37	EPISODE_REWARD:77.26714591928439	FINISHED_NUM:644.5	TIME_MEAN:0.025119388686828253	TIME_STD:0.012264546188197133	FARE_MEAN:0.9830567590273676	FARE_STD:0.40285083817906225
AVE_iter:38	EPISODE_REWARD:77.42055787474688	FINISHED_NUM:647.53125	TIME_MEAN:0.024924411467629047	TIME_STD:0.011981078240244818	FARE_MEAN:0.9835996990421847	FARE_STD:0.3996309712689802
AVE_iter:39	EPISODE_REWARD:76.33300456638125	FINISHED_NUM:639.1875	TIME_MEAN:0.025423514496319213	TIME_STD:0.012083253547458048	FARE_MEAN:0.9684252912362096	FARE_STD:0.3904620257050626
AVE_iter:40	EPISODE_REWARD:77.09205487625312	FINISHED_NUM:643.875	TIME_MEAN:0.024276725371889227	TIME_STD:0.011343873127110172	FARE_MEAN:0.977216492762578	FARE_STD:0.39185452687017663
AVE_iter:41	EPISODE_REWARD:76.8614670843875	FINISHED_NUM:636.46875	TIME_MEAN:0.023975746249395673	TIME_STD:0.010864943930594315	FARE_MEAN:0.9700643185367512	FARE_STD:0.3992110374906298
AVE_iter:42	EPISODE_REWARD:75.69266566229062	FINISHED_NUM:643.71875	TIME_MEAN:0.025302552605500038	TIME_STD:0.011774873611831122	FARE_MEAN:0.9674795584313967	FARE_STD:0.3932498165334672
AVE_iter:43	EPISODE_REWARD:76.03918269409687	FINISHED_NUM:647.59375	TIME_MEAN:0.025492774910158944	TIME_STD:0.012755125656985843	FARE_MEAN:0.9784415653203873	FARE_STD:0.396639261977237
AVE_iter:44	EPISODE_REWARD:76.65658697126875	FINISHED_NUM:642.0625	TIME_MEAN:0.02395954960081948	TIME_STD:0.010383677894570634	FARE_MEAN:0.9677683050713477	FARE_STD:0.379984450649701
AVE_iter:45	EPISODE_REWARD:75.8980931504625	FINISHED_NUM:633.375	TIME_MEAN:0.023868907837493864	TIME_STD:0.01013231766564622	FARE_MEAN:0.9602736988483428	FARE_STD:0.3916089596273902
AVE_iter:46	EPISODE_REWARD:76.04217760528437	FINISHED_NUM:646.84375	TIME_MEAN:0.023915610986141454	TIME_STD:0.010378805221808292	FARE_MEAN:0.9667007370548618	FARE_STD:0.3768239200103021
AVE_iter:47	EPISODE_REWARD:75.802154960425	FINISHED_NUM:649.5625	TIME_MEAN:0.023776716767570392	TIME_STD:0.010621053552820565	FARE_MEAN:0.9706795240212083	FARE_STD:0.37691951240495736
AVE_iter:48	EPISODE_REWARD:74.25258598160312	FINISHED_NUM:636.5	TIME_MEAN:0.024301322627296985	TIME_STD:0.011015607964090117	FARE_MEAN:0.9465494176119235	FARE_STD:0.3707001333572464
AVE_iter:49	EPISODE_REWARD:76.07250910627813	FINISHED_NUM:636.8125	TIME_MEAN:0.024506099960264555	TIME_STD:0.011261087471436526	FARE_MEAN:0.9644819818187282	FARE_STD:0.36746357893945336
AVE_iter:50	EPISODE_REWARD:77.50216659985313	FINISHED_NUM:639.4375	TIME_MEAN:0.024332120835542356	TIME_STD:0.011004313522117204	FARE_MEAN:0.9756807114633261	FARE_STD:0.3882448231942319
AVE_iter:51	EPISODE_REWARD:76.98174668704063	FINISHED_NUM:640.21875	TIME_MEAN:0.024640452942488178	TIME_STD:0.011667036725750325	FARE_MEAN:0.9714195097331857	FARE_STD:0.41259500885995215
AVE_iter:52	EPISODE_REWARD:76.60013035440312	FINISHED_NUM:644.375	TIME_MEAN:0.024286652821977263	TIME_STD:0.010022025160117375	FARE_MEAN:0.9731642944430754	FARE_STD:0.381506464185179
AVE_iter:53	EPISODE_REWARD:75.96454887305	FINISHED_NUM:639.125	TIME_MEAN:0.02555631305970483	TIME_STD:0.011856374935165103	FARE_MEAN:0.9643443770766429	FARE_STD:0.38179179543898345
AVE_iter:54	EPISODE_REWARD:75.340664805475	FINISHED_NUM:638.1875	TIME_MEAN:0.02412569137173063	TIME_STD:0.010667805578790424	FARE_MEAN:0.9602565280652128	FARE_STD:0.38311769333668333
AVE_iter:55	EPISODE_REWARD:77.93961103046874	FINISHED_NUM:645.78125	TIME_MEAN:0.02475016138731296	TIME_STD:0.011333919159899605	FARE_MEAN:0.9866835516775299	FARE_STD:0.39765261947582853
AVE_iter:56	EPISODE_REWARD:76.10134383477188	FINISHED_NUM:638.59375	TIME_MEAN:0.02480664255844081	TIME_STD:0.011105709285630986	FARE_MEAN:0.9667791660894562	FARE_STD:0.38327085442705533
AVE_iter:57	EPISODE_REWARD:76.87789297654375	FINISHED_NUM:642.0	TIME_MEAN:0.024846832196550837	TIME_STD:0.011617399709568463	FARE_MEAN:0.9736706542852028	FARE_STD:0.40510839587011127
AVE_iter:58	EPISODE_REWARD:75.64349548862499	FINISHED_NUM:644.65625	TIME_MEAN:0.026736246285569955	TIME_STD:0.013928372944946577	FARE_MEAN:0.9659124039864598	FARE_STD:0.3873220100711253
AVE_iter:59	EPISODE_REWARD:78.7947717029125	FINISHED_NUM:644.75	TIME_MEAN:0.0242786764847275	TIME_STD:0.010884283781891884	FARE_MEAN:0.9926968662988804	FARE_STD:0.40414348577182846
AVE_iter:60	EPISODE_REWARD:75.65496283630313	FINISHED_NUM:637.375	TIME_MEAN:0.024570810978159344	TIME_STD:0.010997485166719032	FARE_MEAN:0.9590488157542104	FARE_STD:0.3895408470168208
AVE_iter:61	EPISODE_REWARD:75.82386543043125	FINISHED_NUM:644.9375	TIME_MEAN:0.02473567987921796	TIME_STD:0.011217086629390659	FARE_MEAN:0.9681280741392202	FARE_STD:0.38513126712690965
AVE_iter:62	EPISODE_REWARD:76.05464002805311	FINISHED_NUM:645.9375	TIME_MEAN:0.02385324246524454	TIME_STD:0.010165107164851524	FARE_MEAN:0.9737043681855553	FARE_STD:0.3834440418193138
AVE_iter:63	EPISODE_REWARD:76.14206569515312	FINISHED_NUM:639.40625	TIME_MEAN:0.024434924138949515	TIME_STD:0.01103002825782761	FARE_MEAN:0.9637962693271478	FARE_STD:0.36816039502918385
AVE_iter:64	EPISODE_REWARD:75.377705578725	FINISHED_NUM:636.0	TIME_MEAN:0.02494494378510241	TIME_STD:0.011765653631840976	FARE_MEAN:0.9521917201636152	FARE_STD:0.3860323576411283
AVE_iter:65	EPISODE_REWARD:75.09446276583438	FINISHED_NUM:635.71875	TIME_MEAN:0.02400485378359969	TIME_STD:0.010446395490723522	FARE_MEAN:0.9502407607679837	FARE_STD:0.3619595410528096
AVE_iter:66	EPISODE_REWARD:76.01321076935312	FINISHED_NUM:639.34375	TIME_MEAN:0.025292305534466254	TIME_STD:0.011715565280529043	FARE_MEAN:0.9696100304317714	FARE_STD:0.40038891811107613
AVE_iter:67	EPISODE_REWARD:75.85370857736875	FINISHED_NUM:640.25	TIME_MEAN:0.024844151890879646	TIME_STD:0.01135935352821271	FARE_MEAN:0.9654053133118107	FARE_STD:0.3828388384439895
AVE_iter:68	EPISODE_REWARD:77.13576945223124	FINISHED_NUM:643.6875	TIME_MEAN:0.02381561414294219	TIME_STD:0.010088968991797554	FARE_MEAN:0.9790860918015806	FARE_STD:0.4015125290653403
AVE_iter:69	EPISODE_REWARD:76.41679950289688	FINISHED_NUM:640.125	TIME_MEAN:0.025265293469011515	TIME_STD:0.011303818414720189	FARE_MEAN:0.9699128840429136	FARE_STD:0.3854482106524554
AVE_iter:70	EPISODE_REWARD:78.17073996385312	FINISHED_NUM:654.53125	TIME_MEAN:0.026032504885330092	TIME_STD:0.012920586692697921	FARE_MEAN:1.0044566541675435	FARE_STD:0.4044027835384121
AVE_iter:71	EPISODE_REWARD:76.1003869205	FINISHED_NUM:636.125	TIME_MEAN:0.02319789507006592	TIME_STD:0.009675593049733106	FARE_MEAN:0.9592337400879558	FARE_STD:0.3832871325936774
AVE_iter:72	EPISODE_REWARD:76.7238417075375	FINISHED_NUM:633.5625	TIME_MEAN:0.023290780746024482	TIME_STD:0.009390871769973413	FARE_MEAN:0.9640936582094025	FARE_STD:0.3723964861413429
AVE_iter:73	EPISODE_REWARD:75.99010214480312	FINISHED_NUM:645.3125	TIME_MEAN:0.025088961177458013	TIME_STD:0.011925133084943165	FARE_MEAN:0.9711024696593225	FARE_STD:0.37670283934905036
AVE_iter:74	EPISODE_REWARD:75.50589981180624	FINISHED_NUM:631.0	TIME_MEAN:0.02361493665043832	TIME_STD:0.009445968469046316	FARE_MEAN:0.953302520663287	FARE_STD:0.37604899915094947
AVE_iter:75	EPISODE_REWARD:75.36921619675313	FINISHED_NUM:635.46875	TIME_MEAN:0.023685924702913582	TIME_STD:0.01031254662981997	FARE_MEAN:0.9523298919926622	FARE_STD:0.3875197405592241
AVE_iter:76	EPISODE_REWARD:74.86058369505	FINISHED_NUM:633.0	TIME_MEAN:0.02415192139306864	TIME_STD:0.01019869294733008	FARE_MEAN:0.9468306584842946	FARE_STD:0.40404396753011596
AVE_iter:77	EPISODE_REWARD:77.29589785740939	FINISHED_NUM:639.03125	TIME_MEAN:0.024033547055717676	TIME_STD:0.010865313240145766	FARE_MEAN:0.9778194341669697	FARE_STD:0.39228711323428295
AVE_iter:78	EPISODE_REWARD:76.1962000723625	FINISHED_NUM:634.25	TIME_MEAN:0.024057376296241044	TIME_STD:0.010528252825155859	FARE_MEAN:0.9650501571780037	FARE_STD:0.393873303406981
AVE_iter:79	EPISODE_REWARD:75.18968195220312	FINISHED_NUM:636.9375	TIME_MEAN:0.024986420545784274	TIME_STD:0.011148875770748044	FARE_MEAN:0.9570149265422765	FARE_STD:0.3759595937373801
