AVE_iter:0	EPISODE_REWARD:19.286721695378127	FINISHED_NUM:164.65625	TIME_MEAN:0.025654234778343415	TIME_STD:0.009894969829435406	FARE_MEAN:0.24778834485073384	FARE_STD:0.13057377775199216
AVE_iter:1	EPISODE_REWARD:19.268103256940623	FINISHED_NUM:156.84375	TIME_MEAN:0.024416810512549382	TIME_STD:0.007390007977740256	FARE_MEAN:0.23987890630889558	FARE_STD:0.13829272134081078
AVE_iter:2	EPISODE_REWARD:19.291204074409375	FINISHED_NUM:155.21875	TIME_MEAN:0.024699279502064065	TIME_STD:0.007709807743632872	FARE_MEAN:0.2390041302333502	FARE_STD:0.13146148444598504
AVE_iter:3	EPISODE_REWARD:18.830709263171876	FINISHED_NUM:157.5	TIME_MEAN:0.027224669285471882	TIME_STD:0.009854031704913807	FARE_MEAN:0.23687589607678983	FARE_STD:0.13027683908529517
AVE_iter:4	EPISODE_REWARD:19.379548392621874	FINISHED_NUM:159.90625	TIME_MEAN:0.02652695437258652	TIME_STD:0.009281682313262325	FARE_MEAN:0.24499273320928783	FARE_STD:0.13829135221007005
AVE_iter:5	EPISODE_REWARD:19.67410635858125	FINISHED_NUM:160.25	TIME_MEAN:0.025455764213025256	TIME_STD:0.008546706943184022	FARE_MEAN:0.2474230192949156	FARE_STD:0.13254069102670835
AVE_iter:6	EPISODE_REWARD:18.838329699515626	FINISHED_NUM:155.625	TIME_MEAN:0.024285593826719597	TIME_STD:0.00869099856733136	FARE_MEAN:0.23594313131795625	FARE_STD:0.13315418087045328
AVE_iter:7	EPISODE_REWARD:19.18227867718125	FINISHED_NUM:159.53125	TIME_MEAN:0.0247022261149241	TIME_STD:0.007262880420543667	FARE_MEAN:0.24182078620783454	FARE_STD:0.13192359045727517
AVE_iter:8	EPISODE_REWARD:19.313989950056254	FINISHED_NUM:156.1875	TIME_MEAN:0.024771554115136367	TIME_STD:0.007641952885071988	FARE_MEAN:0.24022846607993814	FARE_STD:0.14050051989511925
AVE_iter:9	EPISODE_REWARD:19.137277016812497	FINISHED_NUM:160.0625	TIME_MEAN:0.0244143264987773	TIME_STD:0.008264063612339823	FARE_MEAN:0.24127551973513714	FARE_STD:0.13156453628964776
AVE_iter:10	EPISODE_REWARD:19.594696804056248	FINISHED_NUM:162.3125	TIME_MEAN:0.027038108942803125	TIME_STD:0.010654048830344454	FARE_MEAN:0.24969328122897702	FARE_STD:0.13798062862830918
AVE_iter:11	EPISODE_REWARD:19.21207436108125	FINISHED_NUM:157.34375	TIME_MEAN:0.02415917351933733	TIME_STD:0.0070093532663646155	FARE_MEAN:0.24014574278558487	FARE_STD:0.12598884540977257
AVE_iter:12	EPISODE_REWARD:18.851771111578124	FINISHED_NUM:166.5625	TIME_MEAN:0.02630055501387442	TIME_STD:0.010351807537542746	FARE_MEAN:0.24756356580077815	FARE_STD:0.12511381404081012
AVE_iter:13	EPISODE_REWARD:18.55047352989375	FINISHED_NUM:154.65625	TIME_MEAN:0.02552402310996061	TIME_STD:0.007719731171758514	FARE_MEAN:0.23201508985884986	FARE_STD:0.1267631589131411
AVE_iter:14	EPISODE_REWARD:18.930562797175	FINISHED_NUM:161.28125	TIME_MEAN:0.025058222326924312	TIME_STD:0.00932326347167774	FARE_MEAN:0.24094816759208987	FARE_STD:0.13031421966126358
AVE_iter:15	EPISODE_REWARD:19.350955256921875	FINISHED_NUM:159.0	TIME_MEAN:0.025258961595292378	TIME_STD:0.008788354947869262	FARE_MEAN:0.2442933708553698	FARE_STD:0.13438123529459428
AVE_iter:16	EPISODE_REWARD:18.421537864215622	FINISHED_NUM:157.65625	TIME_MEAN:0.025189397464378746	TIME_STD:0.008177539670985638	FARE_MEAN:0.23327444326550836	FARE_STD:0.13052923922709672
AVE_iter:17	EPISODE_REWARD:18.715427123371875	FINISHED_NUM:157.375	TIME_MEAN:0.02555940476616783	TIME_STD:0.008650236184859855	FARE_MEAN:0.2350409195279107	FARE_STD:0.1280478688515585
AVE_iter:18	EPISODE_REWARD:19.50807191561875	FINISHED_NUM:157.09375	TIME_MEAN:0.02371091757823755	TIME_STD:0.006871877961615365	FARE_MEAN:0.24360860490125252	FARE_STD:0.13569430205528493
AVE_iter:19	EPISODE_REWARD:19.256685022271878	FINISHED_NUM:160.25	TIME_MEAN:0.026294407288329158	TIME_STD:0.009730705684885418	FARE_MEAN:0.24649443147618372	FARE_STD:0.13192790123214906
AVE_iter:20	EPISODE_REWARD:19.309032541506248	FINISHED_NUM:158.875	TIME_MEAN:0.024258641440673467	TIME_STD:0.007001890818895001	FARE_MEAN:0.24290991480016516	FARE_STD:0.13356850672497345
AVE_iter:21	EPISODE_REWARD:19.175445755628125	FINISHED_NUM:162.1875	TIME_MEAN:0.02582761887124659	TIME_STD:0.0100352020254095	FARE_MEAN:0.24445461096906207	FARE_STD:0.12675343722556798
AVE_iter:22	EPISODE_REWARD:19.137148560884377	FINISHED_NUM:161.6875	TIME_MEAN:0.02449564080907944	TIME_STD:0.008710145037995509	FARE_MEAN:0.242649210638422	FARE_STD:0.12505570736077434
AVE_iter:23	EPISODE_REWARD:19.251665176240625	FINISHED_NUM:159.0625	TIME_MEAN:0.024965565220564107	TIME_STD:0.007744270564470784	FARE_MEAN:0.24096132184963534	FARE_STD:0.13384969339367175
AVE_iter:24	EPISODE_REWARD:19.40464781446875	FINISHED_NUM:158.8125	TIME_MEAN:0.025709897254140676	TIME_STD:0.008817237211694084	FARE_MEAN:0.2422247435361809	FARE_STD:0.13191890724361277
AVE_iter:25	EPISODE_REWARD:18.987620887937503	FINISHED_NUM:158.375	TIME_MEAN:0.025902092611018085	TIME_STD:0.009294357404807087	FARE_MEAN:0.2399484228335937	FARE_STD:0.12958938723014476
AVE_iter:26	EPISODE_REWARD:18.871914155671877	FINISHED_NUM:157.90625	TIME_MEAN:0.023604528292498744	TIME_STD:0.007339512243159405	FARE_MEAN:0.23692462462438052	FARE_STD:0.11891221826242937
AVE_iter:27	EPISODE_REWARD:19.263605587178127	FINISHED_NUM:159.46875	TIME_MEAN:0.024601635746243106	TIME_STD:0.007389503078579998	FARE_MEAN:0.2409875985539783	FARE_STD:0.13245845967487974
AVE_iter:28	EPISODE_REWARD:19.340017214484376	FINISHED_NUM:159.46875	TIME_MEAN:0.025629656536638838	TIME_STD:0.00924182453240601	FARE_MEAN:0.2426990980682269	FARE_STD:0.1330637202429384
AVE_iter:29	EPISODE_REWARD:19.312665136762497	FINISHED_NUM:158.75	TIME_MEAN:0.027507260298399214	TIME_STD:0.009389980231644193	FARE_MEAN:0.24298984431691759	FARE_STD:0.1321541252931318
