AVE_iter:0	EPISODE_REWARD:37.82938302161563	FINISHED_NUM:321.4375	TIME_MEAN:0.025491441561270804	TIME_STD:0.01064157339309253	FARE_MEAN:0.4799320484036446	FARE_STD:0.22887201898334655
AVE_iter:1	EPISODE_REWARD:38.1451179908	FINISHED_NUM:321.9375	TIME_MEAN:0.024537636918547105	TIME_STD:0.010161273317238418	FARE_MEAN:0.48298126744510333	FARE_STD:0.2264878424878788
AVE_iter:2	EPISODE_REWARD:38.29499679655312	FINISHED_NUM:320.65625	TIME_MEAN:0.02496502418069456	TIME_STD:0.009988113015752238	FARE_MEAN:0.4843386171677737	FARE_STD:0.22573386467619372
AVE_iter:3	EPISODE_REWARD:37.766227221540625	FINISHED_NUM:320.96875	TIME_MEAN:0.025128099068105418	TIME_STD:0.010989425275320854	FARE_MEAN:0.4808320122907107	FARE_STD:0.2138288264734657
AVE_iter:4	EPISODE_REWARD:38.4774077095125	FINISHED_NUM:319.25	TIME_MEAN:0.024923139800991506	TIME_STD:0.009921428672167585	FARE_MEAN:0.4839024453613564	FARE_STD:0.21248357342140473
AVE_iter:5	EPISODE_REWARD:39.37905152301875	FINISHED_NUM:324.03125	TIME_MEAN:0.024674132149258975	TIME_STD:0.0094487302609005	FARE_MEAN:0.49857875697167475	FARE_STD:0.21484161682005584
AVE_iter:6	EPISODE_REWARD:39.440661599175	FINISHED_NUM:330.03125	TIME_MEAN:0.024226486857846737	TIME_STD:0.00990666331773829	FARE_MEAN:0.5037731339347123	FARE_STD:0.21205561927995467
AVE_iter:7	EPISODE_REWARD:38.041000029715626	FINISHED_NUM:315.65625	TIME_MEAN:0.02296632015498909	TIME_STD:0.008453118262003356	FARE_MEAN:0.47928392046953283	FARE_STD:0.21537808857650137
AVE_iter:8	EPISODE_REWARD:38.717177023737506	FINISHED_NUM:322.15625	TIME_MEAN:0.02433845523346357	TIME_STD:0.00975751508408956	FARE_MEAN:0.488626135470821	FARE_STD:0.2041991628782657
AVE_iter:9	EPISODE_REWARD:38.00219828244376	FINISHED_NUM:320.09375	TIME_MEAN:0.02362312036959463	TIME_STD:0.008957640898107374	FARE_MEAN:0.4816392174949752	FARE_STD:0.22364156242898184
AVE_iter:10	EPISODE_REWARD:38.5738034453125	FINISHED_NUM:323.3125	TIME_MEAN:0.025005251994490454	TIME_STD:0.010594069952470208	FARE_MEAN:0.48975562377400916	FARE_STD:0.2215824177953259
AVE_iter:11	EPISODE_REWARD:38.09265992019688	FINISHED_NUM:321.34375	TIME_MEAN:0.022890355927934557	TIME_STD:0.00846415266800474	FARE_MEAN:0.48209780672864655	FARE_STD:0.21023587084671738
AVE_iter:12	EPISODE_REWARD:38.33942598217813	FINISHED_NUM:320.46875	TIME_MEAN:0.023611724352957903	TIME_STD:0.008687705174018569	FARE_MEAN:0.4846105346816638	FARE_STD:0.2217514736547802
AVE_iter:13	EPISODE_REWARD:37.03859095889062	FINISHED_NUM:315.59375	TIME_MEAN:0.024452740282919605	TIME_STD:0.010274780325935163	FARE_MEAN:0.4666038964450385	FARE_STD:0.21753319068731114
AVE_iter:14	EPISODE_REWARD:38.39352761726562	FINISHED_NUM:322.1875	TIME_MEAN:0.023563004026929932	TIME_STD:0.008856345626962732	FARE_MEAN:0.4889668204100352	FARE_STD:0.21424660355978667
AVE_iter:15	EPISODE_REWARD:38.7683729908375	FINISHED_NUM:320.9375	TIME_MEAN:0.025039045000967805	TIME_STD:0.011224715105307438	FARE_MEAN:0.48945177815910845	FARE_STD:0.21785281522750238
AVE_iter:16	EPISODE_REWARD:38.37355807500938	FINISHED_NUM:323.28125	TIME_MEAN:0.024288663933658215	TIME_STD:0.010412144384420247	FARE_MEAN:0.48674908993365495	FARE_STD:0.22065546242249318
AVE_iter:17	EPISODE_REWARD:39.049604980196875	FINISHED_NUM:313.4375	TIME_MEAN:0.024898242950968416	TIME_STD:0.00988558283917982	FARE_MEAN:0.48526301435055985	FARE_STD:0.2267764167365893
AVE_iter:18	EPISODE_REWARD:37.89676359984375	FINISHED_NUM:318.9375	TIME_MEAN:0.024998320103240955	TIME_STD:0.011585240334012483	FARE_MEAN:0.47912567019096264	FARE_STD:0.21860697375775623
AVE_iter:19	EPISODE_REWARD:38.816954261496875	FINISHED_NUM:320.46875	TIME_MEAN:0.024327370546359306	TIME_STD:0.009908701981448099	FARE_MEAN:0.49026078516173077	FARE_STD:0.2278912644418619
AVE_iter:20	EPISODE_REWARD:37.33584195748438	FINISHED_NUM:315.0	TIME_MEAN:0.02524460784179746	TIME_STD:0.009954657448447108	FARE_MEAN:0.4703644445666036	FARE_STD:0.21660304983490403
AVE_iter:21	EPISODE_REWARD:38.49220762004374	FINISHED_NUM:319.28125	TIME_MEAN:0.02357625042419833	TIME_STD:0.009582538433001843	FARE_MEAN:0.4819169780631809	FARE_STD:0.22297807641409476
AVE_iter:22	EPISODE_REWARD:37.371515878840626	FINISHED_NUM:322.625	TIME_MEAN:0.026302094584864034	TIME_STD:0.01200989612790011	FARE_MEAN:0.47817075187643315	FARE_STD:0.2105193350979455
